Date,Lower Modal Price,Upper Model Price
2020-11-01,-1602.4333416511809,3941.183341651181
2020-12-01,-2750.553949061978,5089.303949061978
2021-01-01,-3631.5378765830783,5970.287876583078
2021-02-01,-4374.241683302362,6712.991683302362
2021-03-01,-5028.576872533003,7367.326872533003
2021-04-01,-5620.141101835419,7958.891101835419
2021-05-01,-5292.977562864817,9198.394229531483
2021-06-01,-5549.217643214426,9462.967643214426
2021-07-01,-5604.076873462778,9408.10892474483
2021-08-01,-5702.38482165984,9309.801488326508
2021-09-01,-5696.738018725671,9315.448803039397
2021-10-01,-5559.010333438553,9453.17700010522
2021-11-01,-6963.035095977975,10857.201762644643
2021-12-01,-8174.130957173171,12068.297623839839
2022-01-01,-9255.048026562117,13149.214693228785
2022-02-01,-10240.4724222049,14134.639088871569
2022-03-01,-11151.973258053435,15046.139924720102
2022-04-01,-12004.047512384988,15898.214179051656
2022-05-01,-11892.899008776407,17353.732342109743
2022-06-01,-12277.603488431734,17746.770155098402
