DateDate,Lower Modal Price,Upper Model Price
2016-03-01,-15958.073127303673,-15928.658997552273
2016-04-01,3211012.0383617836,3216222.2642547884
2016-05-01,-572515900.2912462,-571587799.7197146
2016-06-01,101814450544.71129,101979768429.93013
2016-07-01,-18165145877894.887,-18135698629561.19
2016-08-01,3230421318765038.0,3235666609874450.0
2016-09-01,-5.763531148836432e+17,-5.7541879740477894e+17
2016-10-01,1.0249647328774983e+20,1.0266289858867256e+20
2016-11-01,-1.8286828811111438e+22,-1.8257184304384572e+22
2016-12-01,3.252060954219238e+24,3.2573413819799625e+24
2017-01-01,-5.802139336653122e+26,-5.79273357470433e+26
2017-02-01,1.0318306679944424e+29,1.0335060693415715e+29
2017-03-01,-1.8409326860150908e+31,-1.8379483773655164e+31
2017-04-01,3.2738455471830676e+33,3.279161346965123e+33
2017-05-01,-5.8410061492829476e+35,-5.831537380921159e+35
2017-06-01,1.0387425959768166e+38,1.0404292203412604e+38
2017-07-01,-1.8532645487332902e+40,-1.8502602490841237e+40
2017-08-01,3.2957760686818414e+42,3.3011274774319203e+42
2017-09-01,-5.88013331917694e+44,-5.87060112234086e+44
2017-10-01,1.0457008249172024e+47,1.0473987474786295e+47
