Date,Lower Modal Price,Upper Model Price
2020-11-01,-154.4561618789486,148.6520389039901
2020-12-01,-221.6473947279152,202.97341199881097
2021-01-01,-260.7691958609761,257.9337429192284
2021-02-01,-303.8309409579953,294.3002286274944
2021-03-01,-337.41118461386236,330.7727688181943
2021-04-01,-371.03189800309536,360.5271959953247
2021-05-01,-388.22157130401774,401.6439985645909
2021-06-01,-418.0276764321028,426.1266514992591
2021-07-01,-443.68634610991046,451.47031066120144
2021-08-01,-491.53231588497937,451.87340349864513
2021-09-01,-512.9129535227071,476.3914788343332
2021-10-01,-519.9042014602892,513.2618384542718
2021-11-01,-560.1033409800297,529.4185386518403
2021-12-01,-594.4651432088153,548.3626738719281
2022-01-01,-614.1564317411112,579.6238997600115
2022-02-01,-640.6241191796663,602.0081880989388
2022-03-01,-662.8260615653958,626.8074930447826
2022-04-01,-686.9205720486607,648.0605978585781
2022-05-01,-699.0342555917845,679.8039171575168
2022-06-01,-722.4655282601914,698.8770388418268
