Date,Lower Modal Price,Upper Model Price
2020-05-01,-261656785.5996924,261672121.35859495
2020-06-01,-358043557.0907587,358054547.3453814
2020-07-01,-432186988.2599055,432198672.3743065
2020-08-01,-495199724.3734626,495211214.4758753
2020-09-01,-551034678.6723284,551045965.8370439
2020-10-01,-601704284.8322177,601723470.5639932
2020-11-01,-648428923.1917717,648449422.9040279
2020-12-01,-692006594.2674855,692026757.457775
2021-01-01,-732997794.1613795,733018291.8992041
2021-02-01,-771814794.6853942,771836074.7347349
2021-03-01,-808769615.8583848,808794246.3169105
2021-04-01,-844110611.0794183,844133355.2059547
2021-05-01,-844801756.0011592,844818696.3681226
2021-06-01,-844947597.2241813,844971958.8758091
2021-07-01,-845054916.474873,845078033.3384148
2021-08-01,-845155987.0403843,845179821.8736882
2021-09-01,-845258084.2083681,845279154.6910131
2021-10-01,-845366414.6921116,845372040.034839
2021-11-01,-845467775.7625858,845471845.062615
2021-12-01,-845567500.2223268,845573259.274575
