Date,Lower Modal Price,Upper Model Price
2020-06-01,1828.1916583488191,7371.808341651181
2020-07-01,680.0710509380224,8519.928949061978
2020-08-01,-200.9128765830783,9400.91287658308
2020-09-01,-943.6166833023617,10143.616683302362
2020-10-01,-1597.9518725330026,10797.951872533002
2020-11-01,-2189.5161018354192,11389.51610183542
2020-12-01,-2733.515553943381,11933.51555394338
2021-01-01,-3239.857898123956,12439.857898123955
2021-02-01,-3715.4250249535435,12915.425024953543
2021-03-01,-4165.227597071893,13365.227597071893
2021-04-01,-4593.048260034197,13793.048260034197
2021-05-01,-1868.2466271499134,17201.579960483246
2021-06-01,-3187.1252343831375,18520.458567716472
2021-07-01,-4201.507873728936,19534.84120706227
2021-08-01,-5135.768070964078,20469.101404297413
2021-09-01,-6006.339714568384,21339.673047901717
2021-10-01,-6824.70565590149,22158.038989234825
2021-11-01,-7599.264031502197,22932.597364835532
2021-12-01,-8336.377055428657,23669.71038876199
2022-01-01,-9041.001532734907,24374.334866068242
