Date,Lower Modal Price,Upper Model Price
2020-04-01,-3006810999.300605,3006813622.546633
2020-05-01,-4361260580.938976,4361263188.580854
2020-06-01,-5323244871.941169,5323248048.496087
2020-07-01,-6173830310.674987,6173833479.552484
2020-08-01,-6897068678.00701,6897071852.269723
2020-09-01,-7566434455.141792,7566437625.627123
2020-10-01,-8171419344.208471,8171422517.343391
2020-11-01,-8741023697.527182,8741026868.803587
2020-12-01,-9271467008.183514,9271470180.763546
2021-01-01,-9775987842.66064,9775991419.501022
2021-02-01,-10253829420.755651,10253833064.346445
2021-03-01,-10711642193.639301,10711645836.780197
2021-04-01,-11054787306.372547,11054790947.150215
2021-05-01,-11383726225.506323,11383729867.94164
2021-06-01,-11706062369.919159,11706065944.002861
2021-07-01,-12017953766.287756,12017957341.18704
2021-08-01,-12323186583.486628,12323190157.813833
2021-09-01,-12620194668.725954,12620198243.454435
2021-10-01,-12910951052.714659,12910954627.161673
2021-11-01,-13194904595.80729,13194908170.451733
