Date,Lower Modal Price,Upper Model Price
2020-11-01,-899.0810689239081,4644.535614378454
2020-12-01,-2047.2016763347053,5792.656221789251
2021-01-01,-2928.1856038558053,6673.640149310351
2021-02-01,-3670.8894105750887,7416.343956029635
2021-03-01,-4325.22459980573,8070.679145260276
2021-04-01,-4916.788829108146,8662.243374562691
2021-05-01,-4768.196718708972,9723.175073687327
2021-06-01,-5177.412989534772,9834.77229689408
2021-07-01,-5241.62893169866,9770.556866508949
2021-08-01,-5097.6515965516155,9914.534713434732
2021-09-01,-4106.580423869547,10905.60639789552
2021-10-01,-4063.020073698293,10949.167259845479
2021-11-01,-5467.044836237716,12353.192022384903
2021-12-01,-6678.140697432911,13564.287883580098
2022-01-01,-7759.0577668218575,14645.204952969045
2022-02-01,-8744.482162464641,15630.629348611828
2022-03-01,-9655.982998313175,16542.130184460362
2022-04-01,-10508.057252644729,17394.204438791916
2022-05-01,-10575.480177607576,18671.151173278573
2022-06-01,-11113.160847739095,18911.21279579104
