Date,Lower Modal Price,Upper Model Price
2020-11-01,878.2749916821526,6421.891674984514
2020-12-01,-269.8456157286446,7570.012282395312
2021-01-01,-1150.8295432497448,8450.996209916411
2021-02-01,-1893.5333499690282,9193.700016635696
2021-03-01,-2547.868539199669,9848.035205866336
2021-04-01,-3139.4327685020858,10439.599435168753
2021-05-01,-1259.6025628648158,13231.769229531485
2021-06-01,-1487.78203715382,13524.403249275032
2021-07-01,-1494.6021583630636,13517.583639844546
2021-08-01,-1397.3734580234768,13614.81285196287
2021-09-01,-1323.8900775492011,13688.296744215866
2021-10-01,-1373.92700010522,13638.260333438553
2021-11-01,-2777.951762644643,15042.285095977975
2021-12-01,-3989.0476238398387,16253.38095717317
2022-01-01,-5069.964693228785,17334.298026562115
2022-02-01,-6055.389088871569,18319.7224222049
2022-03-01,-6966.8899247201025,19231.223258053433
2022-04-01,-7818.964179051656,20083.29751238499
2022-05-01,-6155.149008776409,23091.48234210974
2022-06-01,-6511.79288237113,23512.580761159006
