Date,Lower Modal Price,Upper Model Price
2019-12-01,578.1916583488191,6121.808341651181
2020-01-01,-569.9289490619776,7269.928949061978
2020-02-01,-1450.9128765830783,8150.912876583078
2020-03-01,-2193.6166833023617,8893.616683302362
2020-04-01,-2847.9518725330026,9547.951872533002
2020-05-01,-3439.5161018354192,10139.51610183542
2020-06-01,-3983.515553943381,10683.51555394338
2020-07-01,-4489.857898123956,11189.857898123955
2020-08-01,-4965.4250249535435,11665.425024953543
2020-09-01,-5415.227597071893,12115.227597071893
2020-10-01,-5843.048260034197,12543.048260034197
2020-11-01,-3951.5799604832464,15118.246627149914
2020-12-01,-5270.4585677164705,16437.125234383137
2021-01-01,-6284.841207062269,17451.507873728937
2021-02-01,-7219.101404297411,18385.768070964077
2021-03-01,-8089.673047901717,19256.339714568385
2021-04-01,-8908.038989234823,20074.70565590149
2021-05-01,-9682.59736483553,20849.2640315022
2021-06-01,-10419.710388761989,21586.377055428657
2021-07-01,-11124.33486606824,22291.00153273491
