Date,Lower Modal Price,Upper Model Price
2020-10-01,-24746596959.831974,24746603839.59676
2020-11-01,-33091477747.90784,33091484633.169537
2020-12-01,-39091446055.22899,39091453777.95537
2021-01-01,-44060861165.38037,44060869601.30136
2021-02-01,-48439913175.622925,48439920976.20816
2021-03-01,-52422460615.29237,52422468415.218185
2021-04-01,-56110599791.25731,56110607580.462585
2021-05-01,-59565925621.824524,59565933371.57434
2021-06-01,-62829576827.5232,62829584577.22517
2021-07-01,-65931102402.71492,65931110152.39693
2021-08-01,-68892832708.02348,68892840383.1367
2021-09-01,-71732258014.66772,71732265689.77747
2021-10-01,-83530439854.3834,83530447481.3283
2021-11-01,-92717327239.60553,92717334873.9249
2021-12-01,-100652129550.56989,100652138024.21237
2022-01-01,-107844775106.7464,107844784298.60388
2022-02-01,-114524155635.41727,114524164187.88565
2022-03-01,-120810184319.03934,120810192870.89969
2022-04-01,-126775128666.26292,126775137208.23842
2022-05-01,-132467843855.8873,132467852358.15701
