Date,Lower Modal Price,Upper Model Price
2020-10-01,873.19165834882,6416.808341651182
2020-11-01,-274.9289490619767,7564.9289490619785
2020-12-01,-1155.9128765830774,8445.91287658308
2021-01-01,-1898.6166833023608,9188.616683302364
2021-02-01,-2552.9518725330017,9842.951872533004
2021-03-01,-3144.5161018354183,10434.51610183542
2021-04-01,-3688.51555394338,10978.515553943382
2021-05-01,-4194.857898123955,11484.857898123957
2021-06-01,-4670.425024953543,11960.425024953543
2021-07-01,-5120.227597071892,12410.227597071895
2021-08-01,-5548.048260034196,12838.048260034197
2021-09-01,-3459.9132938165785,15609.913293816582
2021-10-01,-4778.791901049803,16928.791901049808
2021-11-01,-5793.174540395601,17943.174540395605
2021-12-01,-6727.434737630743,18877.43473763075
2022-01-01,-7598.006381235049,19748.006381235053
2022-02-01,-8416.372322568155,20566.37232256816
2022-03-01,-9190.930698168862,21340.930698168864
2022-04-01,-9928.04372209532,22078.043722095324
2022-05-01,-10632.668199401573,22782.668199401574
