Date,Lower Modal Price,Upper Model Price
2020-11-01,-1271.8083416511809,4271.808341651181
2020-12-01,-2419.928949061978,5419.928949061978
2021-01-01,-3300.9128765830783,6300.912876583078
2021-02-01,-4043.6166833023617,7043.616683302362
2021-03-01,-4697.951872533003,7697.951872533003
2021-04-01,-5289.516101835419,8289.51610183542
2021-05-01,-4545.68589619815,9945.685896198149
2021-06-01,-4906.092643214426,10106.092643214426
2021-07-01,-4906.0928991038045,10106.092899103805
2021-08-01,-5006.093154993174,10006.093154993174
2021-09-01,-5106.093410882534,9906.093410882535
2021-10-01,-5106.093666771886,9906.093666771885
2021-11-01,-6510.118429311309,11310.11842931131
2021-12-01,-7721.214290506505,12521.214290506505
2022-01-01,-8802.131359895451,13602.131359895451
2022-02-01,-9787.555755538235,14587.555755538235
2022-03-01,-10699.056591386769,15499.056591386769
2022-04-01,-11551.130845718322,16351.130845718322
2022-05-01,-11023.315675443075,18223.315675443075
2022-06-01,-11512.186821765068,18512.18682176507
