Date,Lower Modal Price,Upper Model Price
2020-06-01,510.1115996629992,2904.0354876448223
2020-07-01,19.070538445801276,3463.4114920413112
2020-08-01,-786.0452692423819,3417.043530006988
2020-09-01,-1115.40298692958,3753.769793391145
2020-10-01,-1410.2248494526746,4028.279681477091
2020-11-01,-1682.834230604359,4281.452616059612
2020-12-01,-1920.7321906123436,4519.448089910794
2021-01-01,-2137.7310820778584,4750.385538643675
2021-02-01,-2360.034390051282,4945.289003375041
2021-03-01,-2554.4040203999716,5147.8341387586115
2021-04-01,-2704.6156649396753,5373.524731059698
2021-05-01,-2413.7006960187873,6024.562538209951
2021-06-01,-2611.6997038315267,6249.416561152225
2021-07-01,-2786.5795061846475,6478.306129073751
2021-08-01,-3621.337904932104,6025.9205371171765
2021-09-01,-3806.0016815529834,6212.2379744234495
2021-10-01,-3991.3569659088666,6382.404047620099
2021-11-01,-4174.479468971595,6544.576930346987
2021-12-01,-4340.137999496908,6712.341001149192
2022-01-01,-4496.565110234112,6880.340532756704
